"","subject_nr","BB_test_audio","BB_test_left","BB_test_right","NB_test_audio","NB_test_left","NB_test_right","count_radboudbox_response_BB_test","count_radboudbox_response_NB_test","response","response_radboudbox_response_BB_test","response_radboudbox_response_NB_test","title","contStep","group","responseVowel","audio","biteblock","responseE","pair"
"1",1,"dier-duur_Step1stereo.wav","dier","duur",NA,NA,NA,0,NA,"A","A",NA,"BB-NB","filler","BN",NA,"dier-duur_Step1stereo.wav","Y","filler",NA
"2",1,"pip-pep_continuumStep_7_stereo.wav","pip","pep",NA,NA,NA,1,NA,"E","E",NA,"BB-NB","7","BN","E","pip-pep_continuumStep_7_stereo.wav","Y","1","pip-pep"
"3",1,"tuin-duin_F0_6_VOT_6_stereo.wav","tuin","duin",NA,NA,NA,2,NA,"A","A",NA,"BB-NB","filler","BN",NA,"tuin-duin_F0_6_VOT_6_stereo.wav","Y","filler",NA
"4",1,"sik-sec1.wav","sik","sec",NA,NA,NA,3,NA,"A","A",NA,"BB-NB","1","BN","I","sik-sec1.wav","Y","filler","sik-sec"
"5",1,"pier-puur3_stereo.wav","pier","puur",NA,NA,NA,4,NA,"A","A",NA,"BB-NB","filler","BN",NA,"pier-puur3_stereo.wav","Y","filler",NA
"6",1,"bier-buur_Step1stereo.wav","bier","buur",NA,NA,NA,5,NA,"A","A",NA,"BB-NB","filler","BN",NA,"bier-buur_Step1stereo.wav","Y","filler",NA
"7",1,"pier-puur7_stereo.wav","pier","puur",NA,NA,NA,6,NA,"E","E",NA,"BB-NB","filler","BN",NA,"pier-puur7_stereo.wav","Y","1",NA
"8",1,"bier-buur_Step5stereo.wav","bier","buur",NA,NA,NA,7,NA,"A","A",NA,"BB-NB","filler","BN",NA,"bier-buur_Step5stereo.wav","Y","filler",NA
"9",1,"dier-duur_Step7stereo.wav","dier","duur",NA,NA,NA,8,NA,"E","E",NA,"BB-NB","filler","BN",NA,"dier-duur_Step7stereo.wav","Y","1",NA
"10",1,"doos-toos_F0_5_VOT_5_stereo.wav","doos","toos",NA,NA,NA,9,NA,"E","E",NA,"BB-NB","filler","BN",NA,"doos-toos_F0_5_VOT_5_stereo.wav","Y","1",NA
"11",1,"sik-sec4.wav","sik","sec",NA,NA,NA,10,NA,"E","E",NA,"BB-NB","4","BN","E","sik-sec4.wav","Y","1","sik-sec"
"12",1,"sik-sec3.wav","sik","sec",NA,NA,NA,11,NA,"E","E",NA,"BB-NB","3","BN","E","sik-sec3.wav","Y","1","sik-sec"
"13",1,"kauw-tauw_step6.wav","kauw","touw",NA,NA,NA,12,NA,"E","E",NA,"BB-NB","filler","BN",NA,"kauw-tauw_step6.wav","Y","1",NA
"14",1,"dier-duur_Step2stereo.wav","dier","duur",NA,NA,NA,13,NA,"A","A",NA,"BB-NB","filler","BN",NA,"dier-duur_Step2stereo.wav","Y","filler",NA
"15",1,"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin",NA,NA,NA,14,NA,"A","A",NA,"BB-NB","filler","BN",NA,"tuin-duin_F0_4_VOT_4_stereo.wav","Y","filler",NA
"16",1,"pier-puur2_stereo.wav","pier","puur",NA,NA,NA,15,NA,"A","A",NA,"BB-NB","filler","BN",NA,"pier-puur2_stereo.wav","Y","filler",NA
"17",1,"sik-sec5.wav","sik","sec",NA,NA,NA,16,NA,"E","E",NA,"BB-NB","5","BN","E","sik-sec5.wav","Y","1","sik-sec"
"18",1,"kik-kek_continuumStep_1_stereo.wav","kek","kik",NA,NA,NA,17,NA,"E","E",NA,"BB-NB","1","BN","I","kik-kek_continuumStep_1_stereo.wav","Y","1","kik-kek"
"19",1,"dak-tak_F0_5_VOT_5_stereo.wav","dak","tak",NA,NA,NA,18,NA,"E","E",NA,"BB-NB","filler","BN",NA,"dak-tak_F0_5_VOT_5_stereo.wav","Y","1",NA
"20",1,"pip-pep_continuumStep_3_stereo.wav","pip","pep",NA,NA,NA,19,NA,"E","E",NA,"BB-NB","3","BN","E","pip-pep_continuumStep_3_stereo.wav","Y","1","pip-pep"
"21",1,"dier-duur_Step5stereo.wav","dier","duur",NA,NA,NA,20,NA,"E","E",NA,"BB-NB","filler","BN",NA,"dier-duur_Step5stereo.wav","Y","1",NA
"22",1,"dak-tak_F0_7_VOT_7_stereo.wav","dak","tak",NA,NA,NA,21,NA,"E","E",NA,"BB-NB","filler","BN",NA,"dak-tak_F0_7_VOT_7_stereo.wav","Y","1",NA
"23",1,"dak-tak_F0_2_VOT_2_stereo.wav","dak","tak",NA,NA,NA,22,NA,"A","A",NA,"BB-NB","filler","BN",NA,"dak-tak_F0_2_VOT_2_stereo.wav","Y","filler",NA
"24",1,"tuin-duin_F0_3_VOT_3_stereo.wav","tuin","duin",NA,NA,NA,23,NA,"A","A",NA,"BB-NB","filler","BN",NA,"tuin-duin_F0_3_VOT_3_stereo.wav","Y","filler",NA
"25",1,"bier-buur_Step4stereo.wav","bier","buur",NA,NA,NA,24,NA,"A","A",NA,"BB-NB","filler","BN",NA,"bier-buur_Step4stereo.wav","Y","filler",NA
"26",1,"bier-buur_Step6stereo.wav","bier","buur",NA,NA,NA,25,NA,"A","A",NA,"BB-NB","filler","BN",NA,"bier-buur_Step6stereo.wav","Y","filler",NA
