"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_BB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_BB_practice","title","total_correct"
"pop-top_step1.wav","pop","top","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","0","NA","NA","NA","0","0","NA","NA","NA","NA","Fri May 24 12:21:28 2024","NA","NA","A","NA","A","NA","NA","NA","NA","827","NA","NA","NA","14","even","NA","NA","11299","48675","NA","NA","NA","49502","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","1","NA","NA","NA","0","1","NA","NA","NA","NA","Fri May 24 12:21:28 2024","NA","NA","E","NA","E","NA","NA","NA","NA","139","NA","NA","NA","14","even","NA","NA","11299","51596","NA","NA","NA","51735","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","2","NA","NA","NA","0","2","NA","NA","NA","NA","Fri May 24 12:21:28 2024","NA","NA","A","NA","A","NA","NA","NA","NA","309","NA","NA","NA","14","even","NA","NA","11299","53598","NA","NA","NA","53907","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","NA","NA","NA","0","3","NA","NA","NA","NA","Fri May 24 12:21:28 2024","NA","NA","A","NA","A","NA","NA","NA","NA","420","NA","NA","NA","14","even","NA","NA","11299","55687","NA","NA","NA","56107","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pop-top_step3.wav","pop","top","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","0","NA","NA","0","3","0","NA","NA","NA","Fri May 24 12:21:28 2024","NA","NA","A","NA","A","A","NA","NA","NA","420","457","NA","NA","14","even","NA","NA","11299","55687","64968","NA","NA","56107","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","bier-buur_Step1stereo.wav","bier","buur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","1","NA","NA","0","3","1","NA","NA","NA","Fri May 24 12:21:28 2024","NA","NA","A","NA","A","A","NA","NA","NA","420","678","NA","NA","14","even","NA","NA","11299","55687","67155","NA","NA","56107","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kik-kek_continuumStep_6_stereo.wav","kek","kik","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","2","NA","NA","0","3","2","NA","NA","NA","Fri May 24 12:21:28 2024","NA","NA","A","NA","A","A","NA","NA","NA","420","614","NA","NA","14","even","NA","NA","11299","55687","69577","NA","NA","56107","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dak-tak_F0_2_VOT_2_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","3","NA","NA","0","3","3","NA","NA","NA","Fri May 24 12:21:28 2024","NA","NA","E","NA","A","E","NA","NA","NA","420","535","NA","NA","14","even","NA","NA","11299","55687","71996","NA","NA","56107","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dier-duur_Step4stereo.wav","dier","duur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","4","NA","NA","0","3","4","NA","NA","NA","Fri May 24 12:21:28 2024","NA","NA","A","NA","A","A","NA","NA","NA","420","538","NA","NA","14","even","NA","NA","11299","55687","74290","NA","NA","56107","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step7.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","5","NA","NA","0","3","5","NA","NA","NA","Fri May 24 12:21:28 2024","NA","NA","E","NA","A","E","NA","NA","NA","420","481","NA","NA","14","even","NA","NA","11299","55687","76716","NA","NA","56107","BB-NB","0"
