"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_NB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","live_row_NB_practice_loop","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_NB_practice","title","total_correct"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","NA","NA","NA","9844","NA","undefined","NA","undefined","NA","NA","NA","0","NA","0","NA","NA","0","NA","NA","Thu Jun  6 14:16:31 2024","NA","NA","0","A","NA","NA","NA","A","NA","NA","NA","NA","1030","NA","21","odd","NA","NA","11999","NA","NA","23295","NA","24325","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","9844","NA","undefined","NA","undefined","NA","NA","NA","1","NA","0","NA","NA","1","NA","NA","Thu Jun  6 14:16:31 2024","NA","NA","1","A","NA","NA","NA","A","NA","NA","NA","NA","510","NA","21","odd","NA","NA","11999","NA","NA","26193","NA","26703","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","9844","NA","undefined","NA","undefined","NA","NA","NA","2","NA","0","NA","NA","2","NA","NA","Thu Jun  6 14:16:31 2024","NA","NA","2","A","NA","NA","NA","A","NA","NA","NA","NA","400","NA","21","odd","NA","NA","11999","NA","NA","28575","NA","28975","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","9844","NA","undefined","NA","undefined","NA","NA","NA","3","NA","0","NA","NA","3","NA","NA","Thu Jun  6 14:16:31 2024","NA","NA","3","E","NA","NA","NA","E","NA","NA","NA","NA","158","NA","21","odd","NA","NA","11999","NA","NA","30997","NA","31155","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","kauw-tauw_step6.wav","kauw","touw","9844","NA","undefined","NA","undefined","NA","NA","NA","3","0","0","NA","NA","3","0","NA","Thu Jun  6 14:16:31 2024","NA","NA","3","E","NA","NA","NA","E","E","NA","NA","NA","158","470","21","odd","NA","NA","11999","NA","NA","30997","40232","31155","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","tap-kap_Step1.wav","tap","kap","9844","NA","undefined","NA","undefined","NA","NA","NA","3","1","0","NA","NA","3","1","NA","Thu Jun  6 14:16:31 2024","NA","NA","3","A","NA","NA","NA","E","A","NA","NA","NA","158","208","21","odd","NA","NA","11999","NA","NA","30997","42512","31155","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","pier-puur2_stereo.wav","pier","puur","9844","NA","undefined","NA","undefined","NA","NA","NA","3","2","0","NA","NA","3","2","NA","Thu Jun  6 14:16:31 2024","NA","NA","3","A","NA","NA","NA","E","A","NA","NA","NA","158","333","21","odd","NA","NA","11999","NA","NA","30997","44447","31155","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","tap-kap_step4.wav","tap","kap","9844","NA","undefined","NA","undefined","NA","NA","NA","3","3","0","NA","NA","3","3","NA","Thu Jun  6 14:16:31 2024","NA","NA","3","A","NA","NA","NA","E","A","NA","NA","NA","158","245","21","odd","NA","NA","11999","NA","NA","30997","46589","31155","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","bier-buur_Step7stereo.wav","bier","buur","9844","NA","undefined","NA","undefined","NA","NA","NA","3","4","0","NA","NA","3","4","NA","Thu Jun  6 14:16:31 2024","NA","NA","3","A","NA","NA","NA","E","A","NA","NA","NA","158","384","21","odd","NA","NA","11999","NA","NA","30997","48582","31155","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","dier-duur_Step2stereo.wav","dier","duur","9844","NA","undefined","NA","undefined","NA","NA","NA","3","5","0","NA","NA","3","5","NA","Thu Jun  6 14:16:31 2024","NA","NA","3","A","NA","NA","NA","E","A","NA","NA","NA","158","176","21","odd","NA","NA","11999","NA","NA","30997","50736","31155","NB-BB","0"
